"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AC";"01457";"SENA MADUREIRA";3;78;2045086;702503071950565940396421;"B0769278";"2024-09-25 16:45:00";"N";1120;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC003STD91";"622ACF17D83EFBD9C5351234D25B9CC3A1930D32";"26D1D987"
"06/10/2024";"14:06:53";2024;452;"AC";"01554";"MANOEL URBANO";3;102;2046063;589391896718796361564296;"EE20E970";"2024-09-25 09:55:00";"N";1295;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC003STD91";"622ACF17D83EFBD9C5351234D25B9CC3A1930D32";"26D1D987"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;219;2257453;944193185499895383803209;"17CC704C";"2024-09-28 15:44:00";"N";1767;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01074";"CRUZEIRO DO SUL";4;167;2045350;22446308595438744516616;"7EE1016C";"2024-09-26 11:19:00";"N";2089;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC004STD90";"425B2ED19513538E219AFACD8BD6B895957325D5";"D3AD42A7"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";1;42;2272446;166327666956265699405604;"542D4800";"2024-09-27 14:49:00";"N";1180;"RACWCSC03";"6E3304905E6EC479D7C4";"EDF0085A";"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;127;2264649;631062636436718621863070;"6DC4A4EA";"2024-09-28 13:49:00";"N";1244;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;395;2283406;812880261088423213022606;"E7DEF5B6";"2024-09-29 11:18:00";"N";2321;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";1;461;2256547;873498767014405647493320;"03F4421A";"2024-09-27 17:10:00";"N";1872;"RACWCSC03";"6E3304905E6EC479D7C4";"EDF0085A";"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5"
"06/10/2024";"14:06:53";2024;452;"AC";"01538";"SENADOR GUIOMARD";8;40;2250732;206908480749765129971938;"A2FCC015";"2024-09-25 15:51:00";"N";1074;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC008STD90";"37DC9DDF3B25AE97B1B2B2BC76CCE0EB23B939CE";"142087CE"
"06/10/2024";"14:06:53";2024;452;"AC";"01074";"CRUZEIRO DO SUL";4;123;2048229;779921332867716288791777;"23564318";"2024-09-26 12:02:00";"N";1155;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC004STD90";"425B2ED19513538E219AFACD8BD6B895957325D5";"D3AD42A7"
"06/10/2024";"14:06:53";2024;452;"AC";"01015";"CAPIXABA";2;75;2273085;451067491459606241683815;"6A18E85E";"2024-09-26 11:24:00";"N";1058;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC002STD91";"514298FCA97E74F2B584BA09BBCAFA99B5EDE7F8";"A541C949"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";1;646;2256761;206731688549945574702065;"5EBD1F39";"2024-09-27 15:51:00";"N";3310;"RACWCSC03";"6E3304905E6EC479D7C4";"EDF0085A";"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5"
"06/10/2024";"14:06:53";2024;452;"AC";"01570";"ASSIS BRASIL";6;29;2250795;264792390683983945300932;"FFBDAD6A";"2024-09-25 16:43:00";"N";1023;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC006STD90";"16CF4F61FF46B9F7171F87972B15DA388DDAB73A";"C2C43700"
"06/10/2024";"14:06:53";2024;452;"AC";"01473";"TARAUACÁ";5;114;2047853;913246515492141541459791;"E28B555D";"2024-09-25 14:13:00";"N";1252;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC005STD90";"08A56C93819BE711F51A27B174A626FBBFBAD438";"0D97F536"
"06/10/2024";"14:06:53";2024;452;"AC";"01104";"JORDÃO";5;131;2048002;682023092051193338995841;"26088E23";"2024-09-25 12:55:00";"N";1031;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC005STD90";"08A56C93819BE711F51A27B174A626FBBFBAD438";"0D97F536"
"06/10/2024";"14:06:53";2024;452;"AC";"01112";"EPITACIOLÂNDIA";6;68;2251854;671233971088452631808493;"C9DD1801";"2024-09-25 14:47:00";"N";1058;"RACWCSC01";"161A1EBFAF3454821C91";"BD0A265C";"ZAC006STD90";"16CF4F61FF46B9F7171F87972B15DA388DDAB73A";"C2C43700"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;36;2293927;802779678641777912184738;"E811B9FA";"2024-09-28 17:15:00";"N";1074;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
"06/10/2024";"14:06:53";2024;452;"AC";"01392";"RIO BRANCO";9;86;2256724;519850739990603723420172;"E2ED8385";"2024-09-28 16:27:00";"N";1198;"RACWCSC02";"5B0ADB634458B3A6B880";"464188B5";"RACWCSC04";"42A7AABC1355877D4F78";"4AB80843"
