"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_PLEITO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_URNA_ESPERADA";"CD_CARGA_URNA_ESPERADA";"CD_FLASHCARD_URNA_ESPERADA";"DT_CARGA_URNA_ESPERADA";"ST_CORRESP_ALTERADA";"NR_LOCAL_VOTACAO";"NM_MAQUINA_GERACAO_MIDIA";"NR_SRI_TPM_GERACAO_MIDIA";"NR_SRI_INSTAL_GERACAO_MIDIA";"NM_MAQUINA_TRANSM_CORRESP";"NR_SRI_TPM_TRANSM_CORRESP";"NR_SRI_INSTAL_TRANSM_CORRESP"
"06/10/2024";"14:06:53";2024;452;"AL";"27278";"CAMPO ALEGRE";47;51;2456198;934198392648042471958450;"4251FA86";"2024-09-23 08:49:00";"N";1104;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27596";"IBATEGUARA";16;1;2035526;37676141010588988940298;"91467DDC";"2024-09-26 08:11:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27596";"IBATEGUARA";16;6;2072224;451818113052583484742093;"91467DDC";"2024-09-26 08:28:00";"N";1066;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27332";"CAPELA";6;158;2036683;884554205061747785094133;"00885CAA";"2024-09-25 09:50:00";"N";1058;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28770";"SATUBA";8;108;2068548;709058677751464884113760;"4A3BF107";"2024-09-25 09:05:00";"N";1023;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28355";"PIAÇABUÇU";13;166;2072113;486388650651346061990476;"273D29A7";"2024-09-22 11:25:00";"N";1066;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";1;189;2433058;590070239223511746311249;"E6F8378B";"2024-09-28 08:05:00";"N";1066;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27057";"ARAPIRACA";55;170;2473563;394229971704354247118624;"E8C51B39";"2024-09-28 09:04:00";"N";1147;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28096";"MURICI";9;105;2071194;348133988055827334774104;"6F725CBB";"2024-09-26 08:10:00";"N";1090;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27456";"CORURIPE";7;115;2444954;618338324113113443087750;"235660B3";"2024-09-23 09:30:00";"N";1015;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28916";"SENADOR RUI PALMEIRA";51;80;1673514;224468785928202277476760;"4AFD8105";"2024-09-22 11:18:00";"N";1031;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";3;277;2444843;74840516005444473379716;"E8DA584E";"2024-09-29 10:51:00";"N";1830;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";1;497;2443049;761787521839247045029674;"56B78A24";"2024-09-28 10:19:00";"N";1945;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27855";"MACEIÓ";3;234;2435749;115244940908361594313295;"46F9CC7E";"2024-09-29 08:52:00";"N";1554;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"27839";"LIMOEIRO DE ANADIA";47;128;2037785;571262685301719800827125;"99710FE5";"2024-09-23 15:04:00";"N";1287;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
"06/10/2024";"14:06:53";2024;452;"AL";"28290";"PASSO DE CAMARAGIBE";12;57;2036670;727901849657529175881032;"62595A4C";"2024-09-27 08:22:00";"N";1210;"RALWGERA16";"07940CC9D5B8BF36409C";"2E583239";"RALWGERA01";"516F4A521CD787C82921E9C91A3C21981DA5A1A9";"130A28D4"
